longitude,latitude,species,loc
-90.036944,-0.803889,Microlophus barringtonensis,island
-90.036944,-0.803889,Microlophus barringtonensis,island
-90.036944,-0.803889,Microlophus barringtonensis,island
-90.036944,-0.803889,Microlophus barringtonensis,island
-90.036944,-0.803889,Microlophus barringtonensis,island
-90.536944,-0.560278,Microlophus barringtonensis,island
-90.536944,-0.560278,Microlophus barringtonensis,island
-90.536944,-0.560278,Microlophus barringtonensis,island
-90.536944,-0.560278,Microlophus barringtonensis,island
-90.371667,-0.421944,Microlophus barringtonensis,island
-90.371667,-0.421944,Microlophus barringtonensis,island
-90.371667,-0.421944,Microlophus barringtonensis,island
-90.371667,-0.421944,Microlophus barringtonensis,island
-90.371667,-0.421944,Microlophus barringtonensis,island
-90.371667,-0.421944,Microlophus barringtonensis,island
-90.371667,-0.421944,Microlophus barringtonensis,island
-90.371667,-0.421944,Microlophus barringtonensis,island
-90.371667,-0.421944,Microlophus barringtonensis,island
-90.274444,-0.456111,Microlophus barringtonensis,island
-90.274444,-0.456111,Microlophus barringtonensis,island
-90.274444,-0.456111,Microlophus barringtonensis,island
-70.266667,-18,Microlophus heterolepis,mainland
-70.5,-17.833333,Microlophus heterolepis,mainland
